Date,Symbols,Close,High,Low,Open,Volume
2015-01-26,TSLA,13.77,13.908,13.4033,13.4553,48489510.0
2015-01-26,META,77.5,78.47,77.29,77.98,19250189.0
2015-01-26,XOM,63.4992,63.6238,62.6062,62.7052,15421510.725743
2015-01-26,AMZN,15.482999999999999,15.65,15.376,15.6,63389660.0
2015-01-26,GOOGL,26.836,27.075,26.6035,27.0715,30931260.0
2015-01-27,DIA,154.654,155.744,153.775,154.564,12976696.778971002
2015-01-27,SPY,176.655,177.86,175.78900000000002,176.87400000000002,153722666.05228
2015-01-27,MCHI,46.4645,46.5374,46.1263,46.1523,756456.72295248
2015-01-27,QQQ,95.3218,96.3837,95.0174,96.3258,48105384.449151
2015-01-27,AAPL,24.5988,25.3538,24.5769,25.3408,422103486.3238
2015-01-27,BABA,102.94,103.57,100.58,102.89,15642325.0
2015-01-27,TSLA,13.732000000000001,13.8687,13.5533,13.6273,41709285.0
2015-01-27,META,75.78,76.88,75.63,76.71,20069230.0
2015-01-27,XOM,62.9405,63.3885,62.6963,63.1336,17768916.504048
2015-01-27,AMZN,15.3375,15.512,15.1315,15.315,58389780.0
2015-01-27,GOOGL,26.0595,26.639,26.043000000000003,26.573,39140800.0
2015-01-28,DIA,153.035,155.60399999999998,152.915,155.554,10247647.892629
2015-01-28,SPY,174.375,177.99,174.18599999999998,177.9,702624602.9111401
2015-01-28,MCHI,45.7941,46.268,45.7133,46.268,758955.54248927
2015-01-28,QQQ,94.8467,96.9816,94.8267,96.8748,45520132.575228006
2015-01-28,AAPL,25.9929,26.629,25.9929,26.5122,654215215.4197401
2015-01-28,BABA,98.45,101.49,97.79,100.3,41837231.0
2015-01-28,TSLA,13.2913,13.758,13.228,13.7407,46800315.0
2015-01-28,META,76.24,77.64,76.0,76.9,44200541.0
2015-01-28,XOM,60.8612,62.9258,60.7739,62.8914,25233633.115098998
2015-01-28,AMZN,15.1955,15.5755,15.19,15.4905,60745540.0
2015-01-28,GOOGL,25.6215,26.2845,25.6175,26.25,37076380.0
2015-01-29,DIA,154.954,155.114,152.455,153.385,10791065.454924
2015-01-29,SPY,175.97799999999998,176.267,173.111,174.604,199054464.77312
2015-01-29,MCHI,46.1183,46.1792,45.6235,46.0994,662074.91580303
2015-01-29,QQQ,95.7549,95.9306,93.9414,94.7678,49475144.369694
2015-01-29,AAPL,26.8058,26.8707,26.0518,26.2196,374342683.89156
2015-01-29,BABA,89.81,90.74,87.36,90.53,76534324.0
2015-01-29,TSLA,13.68,13.732000000000001,13.1,13.4047,53204205.0
2015-01-29,META,78.0,78.02,74.21,76.85,61222119.0
2015-01-29,XOM,60.6053,61.0779,59.5347,60.9122,32774396.148057003
2015-01-29,AMZN,15.589,15.64,14.9665,15.2365,171571280.0
2015-01-29,GOOGL,25.6615,25.7595,25.174,25.645,78904140.0
2015-01-30,DIA,152.805,155.004,152.625,154.305,12500495.735436
2015-01-30,SPY,173.778,176.148,173.49900000000002,174.774,226889247.83574
2015-01-30,MCHI,45.1237,45.7233,45.0429,45.6514,1595610.0391916
2015-01-30,QQQ,95.0174,96.4037,94.8836,95.6741,45675495.643373
2015-01-30,AAPL,26.4123,27.0444,26.3384,26.6879,371375043.38899
2015-01-30,BABA,89.08,92.0,88.11,89.6,36798497.0
2015-01-30,TSLA,13.5733,13.8313,13.5333,13.5973,45101085.0
2015-01-30,META,75.91,78.16,75.75,78.0,42628344.0
2015-01-30,XOM,60.4965,61.1886,59.6868,60.3112,32772206.081287
2015-01-30,AMZN,17.7265,17.975,17.037,17.316,477083220.0
2015-01-30,GOOGL,26.8775,27.155,25.909000000000002,25.95,121106420.0
2015-02-02,DIA,154.374,154.504,151.586,153.205,10591466.768792
2015-02-02,SPY,175.919,176.018,172.43400000000003,174.385,186897612.40998
2015-02-02,MCHI,45.7502,45.82,45.427,45.4888,320554.54409263
2015-02-02,QQQ,95.8318,95.9206,93.7468,95.228,46401692.871914
2015-02-02,AAPL,26.7379,26.8657,26.1657,26.611,277934625.40084
2015-02-02,BABA,90.13,91.66,88.61,91.13,18853886.0
2015-02-02,TSLA,14.0627,14.13,13.5533,13.597999999999999,62229225.0
2015-02-02,META,74.99,76.14,73.75,76.11,41942753.0
2015-02-02,XOM,61.9944,62.0003,60.5533,60.7935,29342827.753592
2015-02-02,AMZN,18.2235,18.25,17.5005,17.5025,204608960.0
2015-02-02,GOOGL,26.61,26.825,26.086,26.715999999999998,75370680.0
2015-02-03,DIA,157.10299999999998,157.16299999999998,155.144,155.194,8465307.677742999
2015-02-03,SPY,178.488,178.497,176.476,176.90400000000002,142397451.45476002
2015-02-03,MCHI,46.4047,46.5104,46.1094,46.1263,617144.27618959
2015-02-03,QQQ,96.76799999999999,96.8349,95.5603,96.1911,32715444.443242
2015-02-03,AAPL,26.7429,26.8487,26.5102,26.7099,230238760.04476002
2015-02-03,BABA,90.61,91.65,89.9,91.65,13508718.0
2015-02-03,TSLA,14.5573,14.6913,14.0847,14.2073,72375225.0
2015-02-03,META,75.4,75.58,73.86,75.16,26940959.0
2015-02-03,XOM,63.8394,63.8944,62.8424,62.9052,31645809.960462
2015-02-03,AMZN,18.1775,18.391,18.0105,18.0125,124230420.0
2015-02-03,GOOGL,26.665,26.8725,26.3405,26.497,47061720.0
2015-02-04,DIA,157.273,158.153,156.634,156.654,6661213.232928599
2015-02-04,SPY,177.8,178.955,177.333,177.611,154048875.78356
2015-02-04,MCHI,46.7688,47.4423,46.7159,47.111000000000004,590168.45180381
2015-02-04,QQQ,96.6762,97.3269,96.1532,96.3648,36239578.587569
2015-02-04,AAPL,26.9446,27.1643,26.671,26.7099,310898134.06597
2015-02-04,BABA,90.0,91.88,89.48,90.99,14636558.0
2015-02-04,TSLA,14.57,14.7653,14.4533,14.5527,49576635.0
2015-02-04,META,75.63,76.35,75.01,75.09,20267422.0
2015-02-04,XOM,63.2914,63.8532,62.6356,63.4169,28367853.277725
2015-02-04,AMZN,18.2375,18.375,17.9115,17.919,83381900.0
2015-02-04,GOOGL,26.305,26.8375,26.2515,26.656999999999996,33895600.0
2015-02-05,DIA,159.092,159.18200000000002,157.773,157.993,6770307.5196717
2015-02-05,SPY,179.583,179.732,178.418,178.507,112291086.4943
2015-02-05,MCHI,46.707,46.8247,46.3398,46.4127,799544.06969461
2015-02-05,QQQ,97.5195,97.5794,96.6762,96.9317,25108428.181861
2015-02-05,AAPL,27.1423,27.2092,26.9785,27.1603,186623369.83734
2015-02-05,BABA,87.0,89.84,86.1,89.58,28917247.0
2015-02-05,TSLA,14.7327,15.032,14.6427,14.6587,52837485.0
2015-02-05,META,75.61,75.98,75.21,75.71,15049486.0
2015-02-05,XOM,63.9159,64.0395,63.4571,63.9433,18507793.213523
2015-02-05,AMZN,18.6945,18.94,18.295,18.3,144907880.0
2015-02-05,GOOGL,26.4915,26.5345,26.281999999999996,26.3965,33174840.0
2015-02-06,DIA,158.63299999999998,159.812,158.083,159.15200000000002,8093963.1229294995
2015-02-06,SPY,179.125,180.56900000000002,178.567,179.96099999999998,144189065.03145
2015-02-06,MCHI,45.6883,46.0894,45.6594,45.9557,408888.26576874
2015-02-06,QQQ,96.9317,97.8948,96.5704,97.6593,36356900.673085
2015-02-06,AAPL,26.9066,27.2132,26.8098,27.1603,193033235.15252
2015-02-06,BABA,85.68,87.4,85.42,87.09,17622209.0
2015-02-06,TSLA,14.4907,14.8933,14.4333,14.8,48633375.0
2015-02-06,META,74.47,75.7,74.25,75.68,21192216.0
2015-02-06,XOM,64.2796,64.8276,63.9012,64.7011,17551817.33738
2015-02-06,AMZN,18.714000000000002,18.7995,18.5505,18.7435,77805640.0
2015-02-06,GOOGL,26.694000000000003,27.011,26.4325,26.5505,42938400.0
2015-02-09,DIA,157.773,158.493,157.423,157.833,4178473.8512775
2015-02-09,SPY,178.278,179.21400000000003,177.88,178.418,100043618.64303
2015-02-09,MCHI,45.4629,45.6883,45.3821,45.5606,562757.61430975
2015-02-09,QQQ,96.6083,97.0894,96.3747,96.5404,24046983.77276
2015-02-09,AAPL,27.0904,27.1203,26.8058,26.8327,171744981.58164
2015-02-09,BABA,86.0,86.75,85.47,85.83,12103023.0
2015-02-09,TSLA,14.4987,14.5287,14.1327,14.3587,52079250.0
2015-02-09,META,74.44,74.83,73.45,74.05,16186365.0
2015-02-09,XOM,64.3207,64.8345,64.0973,64.212,16170956.266989999
2015-02-09,AMZN,18.528,18.7205,18.36,18.55,54480500.0
2015-02-09,GOOGL,26.464000000000002,26.694000000000003,26.3775,26.58,30305440.0
2015-02-10,DIA,159.05200000000002,159.27200000000002,157.803,158.69299999999998,4009100.9894195
2015-02-10,SPY,180.19,180.46900000000002,178.328,179.41400000000002,110320654.33706
2015-02-10,MCHI,45.7502,45.83,45.5606,45.7322,204422.08152865
2015-02-10,QQQ,98.1084,98.2511,97.0115,97.1582,25198838.636704
2015-02-10,AAPL,27.6116,27.6376,27.1932,27.1962,273664412.06068
2015-02-10,BABA,87.26,87.47,86.52,87.01,12033555.0
2015-02-10,TSLA,14.4193,14.7,14.3333,14.5087,80611665.0
2015-02-10,META,75.19,75.34,74.5,74.85,15808644.0
2015-02-10,XOM,63.9365,64.4482,63.4365,64.4482,18437368.337017
2015-02-10,AMZN,18.6495,18.715,18.4255,18.5445,45738580.0
