Date,DIA,SPY,AAPL,AMZN,BABA,GOOGL,MCHI,META,QQQ,TSLA,XOM
5/22/2015,-0.003055282,-0.002504401,0.008730305,-0.009267196,-0.006497657,-0.004112713,0.028862693,0.000745527,-0.001055865,0.008586417,-0.007901651
5/26/2015,-0.010603674,-0.010734806,-0.021947268,-0.005051096,-0.008041171,-0.01321864,0.00413512,-0.015023591,-0.011511483,-0.001089898,-0.013502753
5/27/2015,0.006628629,0.009500982,0.018539702,0.013984535,0.000864678,0.012902283,-0.000954689,0.015378797,0.016010187,-0.000121232,-0.00283676
5/28/2015,-0.001230837,-0.001015288,-0.002196132,-0.011241945,-0.017818575,-0.000126297,-0.035410421,-0.005090006,-0.002095313,0.016247052,0
5/29/2015,-0.006771786,-0.006318393,-0.011439011,0.006235788,-0.017921935,-0.015987585,-0.015128568,-0.011854255,-0.005934803,-0.002583024,0.001088168
6/1/2015,0.001606779,0.002050977,0.002023724,0.003937283,0.016345723,0.007133426,0.01104063,0.013890643,0.003366094,-0.005382775,-0.000845065
6/2/2015,-0.001418387,-0.00102609,-0.004376441,0.000162443,-0.002974223,0.008630578,-0.001676034,0.001868228,-0.003162549,-0.004407697,0.000131013
6/3/2015,0.00427361,0.002746258,0.001114159,0.012993341,0.003093581,0.002418991,0.007932003,0.024863252,0.002979721,0.002572976,-0.002228586
6/4/2015,-0.009134648,-0.008534291,-0.005266915,-0.01330768,-0.002202886,-0.006483099,-0.008838145,-0.004730713,-0.007576195,-0.012325821,-0.008600217
6/5/2015,-0.004051561,-0.001625848,-0.005808299,-0.008890849,0.00132465,-0.003915242,-0.006833001,0.001096892,-0.002421964,0.013089596,0.000724159
6/8/2015,-0.003817702,-0.006181749,-0.00669394,-0.008080571,-0.026678426,-0.011009408,0.002195193,-0.017896275,-0.010468865,0.028700788,0.006730476
6/9/2015,-0.000628251,-0.000164411,-0.002820277,0.004675325,-0.008041681,-0.002428792,-0.014302582,0,-0.001570259,-0.00112958,-0.003114788
6/10/2015,0.013012975,0.011899803,0.011551292,0.012433017,0.015071934,0.019256308,-0.007471992,0.018470311,0.01393831,-0.020706991,0.007395699
6/11/2015,0.003282819,0.003342163,-0.002488709,0.005107134,-0.019010124,-0.004632646,0.006313765,-0.004016553,0.00144447,0.002836065,-0.001413274
6/12/2015,-0.008034836,-0.007633835,-0.010900292,-0.007044368,-0.006650613,-0.004672387,0.008272361,-0.003666137,-0.008402629,-0.002863842,-0.012571552
6/15/2015,-0.005861372,-0.004276062,-0.002041459,-0.014537588,-0.005887106,-0.008164831,-0.026593413,-0.010057647,-0.005066727,-0.001238579,-0.003558868
6/16/2015,0.006272267,0.005387154,0.005436535,0.008473576,-0.000348351,0.003443831,-0.013535852,0.004336513,0.005583139,0.010945363,0.011471885
6/17/2015,0.001371297,0.001565098,-0.002341484,0.001287272,0.008247183,0.003175069,0.004789095,0.009005675,0.00281998,0.028800512,0.000590179
6/18/2015,0.010388915,0.010428536,0.004313742,0.027068091,-0.000576037,0.017526528,0.004841985,0.013571341,0.014673257,0.005679494,0.0088358
6/19/2015,-0.006277684,-0.004328121,-0.009967098,-0.010173195,-0.011642651,0.002409292,-0.009561955,-0.004704463,-0.004881089,0.002371229,-0.003157851
6/22/2015,0.00662732,0.00504266,0.008089411,0.003150005,-0.00069979,0.0038743,0.012086855,0.027027027,0.007111814,-0.0103653,-0.000439059
